,CID,pW 1 vel,pW 1 vel err,pW 2 vel,pW 2 vel err,pW 3 vel,pW 3 vel err,pW 4 vel,pW 4 vel err,pW 5 vel,pW 5 vel err,pW 6 vel,pW 6 vel err,pW 7 vel,pW 7 vel err,pW 8 vel,pW 8 vel err
77,15508,14111.226515384304,295.0847856208375,,,13316.118080774724,196.01842568037785,15555.667082082175,555.0811164852987,5830.486258527883,1474.5300544714066,10801.247578810824,556.3961903004284,12629.070863072087,856.1818274800899,,
78,16021,15100.726153949669,181.4270948205608,8663.341706670048,1033.4630994293386,10631.762592143854,245.6987003331754,16994.838033165026,462.58650677622927,6291.8051495042,1101.0352378393636,8670.620654243525,180.6971149347135,10394.50183316042,63.97122516593914,,
79,16032,12342.86462935039,174.9126759736945,,,9856.577643617378,194.99721075027088,17140.946979241977,355.4705763256173,8440.656678218811,981.037755150254,,,,,,
80,16099,16900.99612118298,320.08729307836603,,,13339.331638490152,215.37760482810046,19682.81859077154,7214.9082120787025,7401.998254615971,2397.6865586290337,12993.135779806547,6532.3087089923465,11165.73282652072,187.78399746935918,,
81,16100,11714.899851334021,246.93739291858208,7373.159125595849,304.48393556865415,7144.905532925135,138.45086444556478,16054.215122257563,163.0714305637509,5496.596523821803,950.3916252264618,8961.75017694928,147.82860509367902,9398.499622338033,45.46545668898822,,
82,16116,11930.813981168967,177.5098541818894,,,9483.615818172542,477.69711509554975,17493.35341690167,441.30366830636564,8077.675707580255,284.76023009322034,12000.990450063262,1103.2202854857899,,,,
83,16215,,,11207.013429258279,560.2557495357516,9663.475141158428,783.1294321820526,16904.661307469705,495.6204775257492,9099.862844071316,389.514247445563,,,11107.674005531362,75.12895199721335,,
84,16259,15390.778284682463,633.7622286797964,8408.095213948702,90.1311792048613,7751.063197781918,137.62941475491021,16425.003123377013,198.43047907646385,5622.517179061885,251.90602824104286,11243.478096571365,313.4262248607825,10693.994274932891,77.61819354584063,,
85,16280,-1598.593896220298,23.22278878796308,12229.432626173997,590.7464855528146,10411.857143333646,402.4170785859748,19018.020649759743,273.300255029477,8072.867069180787,307.3682999720524,12396.036775451612,254.35184007397407,12544.849252031774,194.06025073029545,14167.811897810989,669.2409631843558
86,16281,12660.761526430952,105.47600613118051,,,10294.608367505809,122.15327701456215,15191.496434392731,312.10083741682644,7419.647748757641,969.2602755090344,11688.686512442539,1036.294756126116,9598.840193735992,98.93175953095457,,
87,16287,15946.976079721142,62.04760980839095,10156.26976149785,57.32231384423309,10762.231482497942,165.8641119348293,17501.3140368872,257.83496599940554,7900.943756302423,437.60210895562653,11022.950642653344,196.09930133956692,11148.61549593636,65.1626216466906,,
88,16314,14745.596212064786,136.78616655876044,,,12895.944824038379,212.54818894067867,16338.723365061447,223.79585769312058,8974.865522483671,297.0116842224735,,,9799.733449564084,49.17867774736188,,
89,16333,,,,,14928.247626802293,155.40726736818942,25397.868298902187,11549.54340610137,,,,,,,,
90,16350,12160.838281174956,323.65818345574075,,,9146.708147423371,211.0906068550609,17143.588945985546,282.4877378004496,6549.450125635262,1417.9894194666776,10001.35114779902,305.90796383661893,,,,
91,16352,12423.408335437323,253.1678186357211,,,11545.394096408172,202.47661901716262,16203.93440102595,255.27184009825825,7465.764098972966,3387.1269715905346,12416.861603059411,855.3156632695135,11249.957568828408,76.11981845269341,,
92,16473,17308.871137477294,297.33804998643365,,,12918.012221229475,57.689229978709726,15395.532471610586,859.5595303664493,9286.069761196548,710.254282810292,7503.574585711899,730.1728261313889,,,,
93,16482,13736.160167642383,208.2938149186375,9127.454801433265,129.08843145215445,9255.607942571303,99.74034574819493,16838.00832877307,235.45330042680862,7623.085015838729,239.52021272598853,9307.03462668588,187.0918369302084,9989.063689370827,86.67780064794681,,
94,16618,14995.760489690569,60.588071483760025,9802.984555542314,517.4210817831613,12442.363299404695,58.19862686224624,16231.579748630369,93.60296062698187,10081.04727091087,221.7560823659369,9425.570540583394,272.4045311727808,10315.256951111456,41.23163350484522,,
95,17168,17413.475506127354,247.205643490928,,,9426.982011974247,650.8854600049898,16649.964102824742,346.98662234796967,,,,,,,,
96,17186,,,9086.445393063992,943.1263964007561,11719.18686600306,144.47564636693534,16796.544808025454,239.1075046070736,9151.912169771309,289.72008553638295,10166.275984367136,1441.8000827608466,11452.024176895657,79.3983304283132,,
97,17274,16917.077795590674,394.6917027537101,,,14904.200706658803,393.464272404212,16506.394043023807,1121.7713983843482,,,,,,,,
98,17366,14419.602124772307,90.34457942238278,,,11536.098735637755,371.48226071842566,16141.583504297714,547.1855199245047,7789.387209828702,698.1042317104567,11480.08805337926,1331.421500078181,9674.661902713262,82.86102541114684,,
99,17745,14676.117173169205,182.2475268014076,9439.639385814668,353.36416147019906,12330.29044522529,131.92168416086943,16606.981479814753,89.85847447941215,8216.567965409668,264.5206762402035,8307.380471925911,1507.762252463091,9948.18518030789,14.102798048237634,,
100,17784,,,8774.58119874149,382.0798363188722,8671.902921681027,172.81123296421055,16764.6099975528,341.4091776048225,7377.986698196941,610.5742818844931,10257.66220902238,141.61789136554572,10935.899217776285,57.730015126900646,,
101,17811,10772.88016357557,207.83955437037963,8622.760006288034,823.3876206287591,8744.276448417426,228.33557487701785,15392.416390168964,171.6202889052815,7622.159292040546,183.99832592408333,10081.185412665407,100.82263672447928,9426.954614825236,94.96278319264759,,
102,17825,17134.060498639166,232.0102363035109,8429.389446547453,654.2900140768139,9995.698360785484,169.17661406587314,16877.7562401529,346.02960518417535,8547.837386290406,512.1073209588343,9548.307919349252,1011.2718890966487,9710.185539179827,128.11775020592665,,
103,17875,11857.123701952343,159.15445654879156,,,9412.053440025971,317.7116751688432,18518.077914356712,8732.370774890513,5593.239833159443,501.422267180215,5680.068558551453,745.3059881260083,,,,
104,17880,,,10711.706159499752,240.05719699718682,11849.04739683702,44.97667017260192,18409.60070713104,136.34147239600458,8388.836468150448,211.5140608865761,11712.240367421013,143.36424649187143,13610.402931432393,32.81420616648083,15906.973930580349,499.5881453558412
105,18323,11215.340617955471,69.06481366150167,7675.91932305908,643.879802998291,8201.329939998031,167.2648783535663,16759.54168560663,170.81366496061008,6582.364546818156,172.41755576063812,8760.179962369202,75.18241673383207,9036.326045157282,58.53896436547981,,
106,18375,13598.186623852793,173.02175064849206,11878.356817714617,3148.575431823536,11387.55198439666,81.0723046788197,16312.370738051191,287.7688786165985,7117.900699525647,2944.547944683097,,,,,,
107,18415,14191.750358660227,260.65751860584453,10004.880994026884,68.97934668331061,11279.306533883213,119.36699724770605,17127.08139552127,53.3902868813098,8567.822505523303,269.2658945990818,10793.165926220463,102.29793347308949,10740.209110317628,10.309681470539633,,
108,18650,16795.678100804864,224.75105049476286,,,10706.247257171353,387.90110949293677,16969.639511557114,634.0429149428671,,,7366.617565122116,3408.333574225409,9801.492570781324,85.82795866815353,,
109,18697,15307.845514297756,171.10827298391683,10085.459912315551,1637.0822264945016,11997.026021860707,94.52136612575927,16796.051248678606,189.7941003533247,9314.418632726594,300.2336398445588,9994.087249778222,1216.6242145026315,11492.669399663448,108.99723484423124,,
110,18740,14242.604468206688,242.11993823009172,7932.6406302772875,472.4364456598477,10077.193035243246,311.84602332933287,18135.04945803217,233.77766364516984,9688.079402071071,240.36624129102955,,,10176.113735057534,73.13419731532423,,
111,18804,13647.062088967255,644.9191200480748,10878.448785908813,972.1013282054216,13165.059969966778,350.9984544385813,15817.288659526414,539.8721805655733,8081.145549436045,960.1978288622277,7354.166844080752,1900.3630270926988,,,,
112,18809,14248.617290837456,162.3422568297384,9221.624541865584,142.8345920029856,10282.235758460627,153.48340706891466,14889.828409972331,274.905414935312,8862.820973827414,855.8701132350734,10467.719763155084,146.47023311543208,11641.390864936384,134.60216088136477,,
113,18855,14841.96703341083,144.4769248829122,10374.241584621614,293.40362329900955,11697.492326612719,298.882912359697,17901.090688357854,925.8786581566768,8293.174250249413,4015.1559425675678,9442.12046344688,1745.853660493317,11084.996849042098,68.1920521371134,,
114,19027,12914.94105038761,116.12187094599943,7705.555878227533,383.6170329153698,9487.70423087793,238.24762472317482,15986.27662169866,329.56799304917666,6981.608343722859,347.3656348794248,9201.11401617896,557.0968133597537,,,,
115,19128,13497.426178803764,41.71529569784172,8793.661153802577,735.823388449675,9098.379472282892,77.04041556331977,16582.782915499567,83.61557804917126,7258.011924304043,199.90995545274825,8144.168667504894,341.65939694741405,9516.319374181112,100.2709603835232,,
116,19341,19720.438721440107,117.49397699344112,11354.723929197231,321.3213530961553,10958.282178134628,322.7821431500792,19263.269673888044,505.31888137913216,8961.82353834448,688.4517871703063,10874.143571068924,363.2816762295731,12015.581742683496,94.01421185769644,,
117,19381,13057.529067337338,158.0938521707096,8403.407798323477,169.68227979422457,10773.980066457329,173.80720547003062,15620.082632149622,277.66365788983256,8133.787047072083,454.3483822912351,9639.722578543044,259.18141481140077,9710.085580975814,107.06267765712448,,
